作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Liu, Y., Zhang, S., Ding, Z., Schober, R., Al-Dhahir, N., Hossain, E., Shen, X.","57478132300;56022218900;8335376300;7004473639;7006800187;6701362398;57222737896;","Guest Editorial Special Issue on Next Generation Multiple Access - Part II",2022,"IEEE Journal on Selected Areas in Communications","40","5",,"1387","1391",,,"10.1109/JSAC.2021.3139737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128843705&doi=10.1109%2fJSAC.2021.3139737&partnerID=40&md5=e807ee6ab76c9ba20787f828039a3623",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85128843705
"Liu, Y., Zhang, S., Ding, Z., Schober, R., Al-Dhahir, N., Hossain, E., Shen, X.","57478132300;56022218900;8335376300;7004473639;7006800187;6701362398;57222737896;","Special Issue on Next Generation Multiple Access - Part I",2022,"IEEE Journal on Selected Areas in Communications","40","4",,"1031","1036",,,"10.1109/JSAC.2021.3139485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127127852&doi=10.1109%2fJSAC.2021.3139485&partnerID=40&md5=ee90eeccac84633cd8ae716d1a69575d",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85127127852
"Liu, Y., Zhang, S., Mu, X., Ding, Z., Schober, R., Al-Dhahir, N., Hossain, E., Shen, X.","56454483900;56022218900;57052165200;8335376300;7004473639;57203176996;6701362398;57222737896;","Evolution of NOMA Toward Next Generation Multiple Access (NGMA) for 6G",2022,"IEEE Journal on Selected Areas in Communications","40","4",,"1037","1071",,1,"10.1109/JSAC.2022.3145234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123413563&doi=10.1109%2fJSAC.2022.3145234&partnerID=40&md5=292fbbecfde8a731d798dbbda31a23b6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85123413563
"Wang, J., Zhu, K., Hossain, E.","56966804000;57189895507;6701362398;","Green Internet of Vehicles (IoV) in the 6G Era: Toward Sustainable Vehicular Communications and Networking",2022,"IEEE Transactions on Green Communications and Networking","6","1",,"391","423",,,"10.1109/TGCN.2021.3127923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125380079&doi=10.1109%2fTGCN.2021.3127923&partnerID=40&md5=a478633ae4cb9634b244235d87f62e91",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85125380079
"Dai, C., Zhu, K., Yi, C., Hossain, E.","57211666186;57189895507;56353058800;6701362398;","Decoupled Uplink-Downlink Association in Full-Duplex Cellular Networks: A Contract-Theory Approach",2022,"IEEE Transactions on Mobile Computing","21","3",,"911","925",,1,"10.1109/TMC.2020.3017646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124586838&doi=10.1109%2fTMC.2020.3017646&partnerID=40&md5=4e576068aab9cad2caa44b3b4a9682d8",Article,"Final","",Scopus,2-s2.0-85124586838
"Shafique, T., Tabassum, H., Hossain, E.","57190004248;49864880700;6701362398;","Stochastic Geometry Analysis of IRS-Assisted Downlink Cellular Networks",2022,"IEEE Transactions on Communications","70","2",,"1442","1456",,,"10.1109/TCOMM.2022.3141097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122858391&doi=10.1109%2fTCOMM.2022.3141097&partnerID=40&md5=da6fa58249b4c8a9b3988d4a99f6a476",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85122858391
"Fredj, F., Al-Eryani, Y., Maghsudi, S., Akrout, M., Hossain, E.","57219735835;57191411252;54784942000;57205504971;6701362398;","Distributed Beamforming Techniques for Cell-Free Wireless Networks Using Deep Reinforcement Learning",2022,"IEEE Transactions on Cognitive Communications and Networking",,,,"","",,,"10.1109/TCCN.2022.3165810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128275393&doi=10.1109%2fTCCN.2022.3165810&partnerID=40&md5=04ffaebba286b5638872da676ce29cf2",Article,"Article in Press","",Scopus,2-s2.0-85128275393
"Rehman, H.U., Bellili, F., Mezghani, A., Hossain, E.","57226788705;24723584000;24491972000;6701362398;","Modulating Intelligent Surfaces for Multi-User MIMO Systems: Beamforming and Modulation Design",2022,"IEEE Transactions on Communications",,,,"","",,,"10.1109/TCOMM.2022.3160540","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126715865&doi=10.1109%2fTCOMM.2022.3160540&partnerID=40&md5=eb52b4661b1ed80f979330183c8005bb",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85126715865
"Al-Eryani, Y., Hossain, E.","57191411252;6701362398;","Self-Organizing mmWave MIMO Cell-Free Networks With Hybrid Beamforming: A Hierarchical DRL-Based Design",2022,"IEEE Transactions on Communications",,,,"","",,,"10.1109/TCOMM.2022.3159836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126510265&doi=10.1109%2fTCOMM.2022.3159836&partnerID=40&md5=d588c1d970a675714c209ccb2d9ca751",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85126510265
"Dai, C., Zhu, K., Li, Z., Hossain, E.","57211666186;57189895507;57207999087;6701362398;","Joint Decoupled Multiple-Association and Resource Allocation in Full-Duplex Heterogeneous Cellular Networks: A Four-Sided Matching Game",2022,"IEEE Transactions on Wireless Communications",,,,"","",,,"10.1109/TWC.2022.3149873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124822700&doi=10.1109%2fTWC.2022.3149873&partnerID=40&md5=33ffb8203218484a2378807c5751b703",Article,"Article in Press","",Scopus,2-s2.0-85124822700
"Barua, A., Al Alamin, M.A., Hossain, M.S., Hossain, E.","57455313900;57224513636;36615471000;6701362398;","Security and Privacy Threats for Bluetooth Low Energy in IoT and Wearable Devices: A Comprehensive Survey",2022,"IEEE Open Journal of the Communications Society","3",,,"251","281",,,"10.1109/OJCOMS.2022.3149732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124723039&doi=10.1109%2fOJCOMS.2022.3149732&partnerID=40&md5=eb125b6ca73e7824d4d7e686a0a94ad7",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85124723039
"Green, M., Mann, D.D., Hossain, E.","57278952700;7402056628;6701362398;","Measurement of latency during real-time wireless video transmission for remote supervision of autonomous agricultural machines",2021,"Computers and Electronics in Agriculture","190",,"106475","","",,,"10.1016/j.compag.2021.106475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116068445&doi=10.1016%2fj.compag.2021.106475&partnerID=40&md5=c0282f2af3d1b7b9281fc5dd825de5ba",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85116068445
"Ur Rehman, H., Bellili, F., Mezghani, A., Hossain, E.","57226788705;24723584000;24491972000;6701362398;","Joint Active and Passive Beamforming Design for IRS-Assisted Multi-User MIMO Systems: A VAMP-Based Approach",2021,"IEEE Transactions on Communications","69","10",,"6734","6749",,2,"10.1109/TCOMM.2021.3094509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112589924&doi=10.1109%2fTCOMM.2021.3094509&partnerID=40&md5=d47315d44c2f3c967d88e1028db7a2f3",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85112589924
"Hossain, E., Fredj, F.","6701362398;57219735835;","Editorial: Energy efficiency of machine-learning-based designs for future wireless systems and networks",2021,"IEEE Transactions on Green Communications and Networking","5","3","9520763","1005","1010",,1,"10.1109/TGCN.2021.3099580","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114003441&doi=10.1109%2fTGCN.2021.3099580&partnerID=40&md5=a68d582aceb829239868a2b1faacd306",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85114003441
"Astudillo, C.A., Hossain, E., Da Fonseca, N.L.S.","37041364900;6701362398;6701801409;","Random Access Based on Maximum Average Distance Code for Massive MTC in Cellular IoT Networks",2021,"IEEE Wireless Communications Letters","10","9","9442825","1852","1856",,,"10.1109/LWC.2021.3084163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107196686&doi=10.1109%2fLWC.2021.3084163&partnerID=40&md5=8202863112d8642611bfd479bab5f92a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85107196686
"Sekander, S., Tabassum, H., Hossain, E.","57189462649;49864880700;6701362398;","Statistical Performance Modeling of Solar and Wind-Powered UAV Communications",2021,"IEEE Transactions on Mobile Computing","20","8","9060991","2686","2700",,9,"10.1109/TMC.2020.2983955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112697358&doi=10.1109%2fTMC.2020.2983955&partnerID=40&md5=6668a0370361aea15de47e1d6476941f",Article,"Final","",Scopus,2-s2.0-85112697358
"Salehi, M., Hossain, E.","57206271205;6701362398;","Federated Learning in Unreliable and Resource-Constrained Cellular Wireless Networks",2021,"IEEE Transactions on Communications","69","8","9435350","5136","5151",,1,"10.1109/TCOMM.2021.3081746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106732333&doi=10.1109%2fTCOMM.2021.3081746&partnerID=40&md5=8eccc7cf578c3c20e3ef1b502086d8f4",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85106732333
"Khan, L.U., Saad, W., Han, Z., Hossain, E., Hong, C.S.","56465495100;57203259001;55767186700;6701362398;56623778200;","Federated learning for internet of things: Recent advances, taxonomy, and open challenges",2021,"IEEE Communications Surveys and Tutorials","23","3","9460016","1759","1799",,27,"10.1109/COMST.2021.3090430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110950194&doi=10.1109%2fCOMST.2021.3090430&partnerID=40&md5=51bef8e77cbb70edcd2b39c4075ee839",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85110950194
"Hu, S., Chen, X., Ni, W., Hossain, E., Wang, X.","55475616700;56353143300;35956974500;6701362398;57218519379;","Distributed machine learning for wireless communication networks: Techniques, architectures, and applications",2021,"IEEE Communications Surveys and Tutorials","23","3","9446488","1458","1493",,4,"10.1109/COMST.2021.3086014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107342714&doi=10.1109%2fCOMST.2021.3086014&partnerID=40&md5=a53155d5a4eb0a4e671d99630e5927db",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85107342714
"Vera-Rivera, A., Refaey, A., Hossain, E.","57210819447;24825710000;6701362398;","Blockchain-Based Collaborative Task Offloading in MEC: A Hyperledger Fabric Framework",2021,"2021 IEEE International Conference on Communications Workshops, ICC Workshops 2021 - Proceedings",,,"9473763","","",,1,"10.1109/ICCWorkshops50388.2021.9473763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112851099&doi=10.1109%2fICCWorkshops50388.2021.9473763&partnerID=40&md5=668c50d4a5f79a28f962db11299f268f",Conference Paper,"Final","",Scopus,2-s2.0-85112851099
"Rivera, A.V., Refaey, A., Hossain, E.","57219250351;24825710000;6701362398;","A Blockchain Framework for Secure Task Sharing in Multi-Access Edge Computing",2021,"IEEE Network","35","3","9210139","176","183",,8,"10.1109/MNET.011.2000497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091905447&doi=10.1109%2fMNET.011.2000497&partnerID=40&md5=7601f782450d676a664cc46b1265a3b7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85091905447
"Feriani, A., Hossain, E.","57219496542;6701362398;","Single and Multi-Agent Deep Reinforcement Learning for AI-Enabled Wireless Networks: A Tutorial",2021,"IEEE Communications Surveys and Tutorials","23","2","9372298","1226","1252",,14,"10.1109/COMST.2021.3063822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102643196&doi=10.1109%2fCOMST.2021.3063822&partnerID=40&md5=fcee093b56035d3fbe180aecb41dc498",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85102643196
"Afrin, M., Jin, J., Rahman, A., Rahman, A., Wan, J., Hossain, E.","56592961900;24465681500;56921224000;7402940305;24333732700;6701362398;","Resource Allocation and Service Provisioning in Multi-Agent Cloud Robotics: A Comprehensive Survey",2021,"IEEE Communications Surveys and Tutorials","23","2","9360855","842","870",,8,"10.1109/COMST.2021.3061435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101780393&doi=10.1109%2fCOMST.2021.3061435&partnerID=40&md5=dedd8b70d4d52a560a1dcf4bafd9fe56",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85101780393
"Al-Eryani, Y., Akrout, M., Hossain, E.","57191411252;57205504971;6701362398;","Antenna Clustering for Simultaneous Wireless Information and Power Transfer in a MIMO Full-Duplex System: A Deep Reinforcement Learning-Based Design",2021,"IEEE Transactions on Communications","69","4","9324737","2331","2345",,3,"10.1109/TCOMM.2021.3051680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099732834&doi=10.1109%2fTCOMM.2021.3051680&partnerID=40&md5=ddf3900ca3039c774dfee3bdf1d90be6",Article,"Final","",Scopus,2-s2.0-85099732834
