作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Fu, Y., Zhang, Y., Zhu, Q., Chen, M., Quek, T.Q.S.","55554164800;57205421993;35220981400;57113807700;55362784200;","Joint Content Caching, Recommendation, and Transmission Optimization for Next Generation Multiple Access Networks",2022,"IEEE Journal on Selected Areas in Communications","40","5",,"1600","1614",,1,"10.1109/JSAC.2022.3146901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124230491&doi=10.1109%2fJSAC.2022.3146901&partnerID=40&md5=f5764c2a47fbf0ffc8f60c9382d27465",Article,"Final","",Scopus,2-s2.0-85124230491
"Sun, X., Zhao, F., Yang, H.H., Zhan, W., Wang, X., Quek, T.Q.S.","55727844800;57222012814;56491835900;56542661800;35957356100;55362784200;","Optimizing Age of Information in Random-Access Poisson Networks",2022,"IEEE Internet of Things Journal","9","9",,"6816","6829",,,"10.1109/JIOT.2021.3115780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116903104&doi=10.1109%2fJIOT.2021.3115780&partnerID=40&md5=52d69bb51b580e3ec23096468b124df0",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85116903104
"Sun, C., Cai, K., Song, G., Quek, T.Q.S., Fei, Z.","57201917012;57220566004;34969496500;55362784200;7005339161;","Belief Propagation Based Joint Detection and Decoding for Resistive Random Access Memories",2022,"IEEE Transactions on Communications","70","4",,"2227","2239",,,"10.1109/TCOMM.2022.3156074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125693807&doi=10.1109%2fTCOMM.2022.3156074&partnerID=40&md5=f83683b707870ddde227c8e71d2d0f45",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85125693807
"Wu, Y., Song, Y., Wang, T., Qian, L., Quek, T.Q.S.","24781596200;57345518800;57226446394;55241616100;55362784200;","Non-Orthogonal Multiple Access Assisted Federated Learning via Wireless Power Transfer: A Cost-Efficient Approach",2022,"IEEE Transactions on Communications","70","4",,"2853","2869",,,"10.1109/TCOMM.2022.3153068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125346524&doi=10.1109%2fTCOMM.2022.3153068&partnerID=40&md5=c1d99500521228cacc3b8ec11d1ec021",Article,"Final","",Scopus,2-s2.0-85125346524
"Chen, Z., Liu, S., Jia, Y., Wang, M., Quek, T.Q.S.","55486248100;57221563757;55572987700;57443020800;55362784200;","A Novel Hybrid Duplex Scheme for Relay Channel: Joint Optimization of Full-Duplex Duty Cycle and Source Power Allocation",2022,"IEEE Transactions on Communications","70","4",,"2435","2450",,,"10.1109/TCOMM.2022.3148430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124189586&doi=10.1109%2fTCOMM.2022.3148430&partnerID=40&md5=35596717cae6a755f8d9b22db1014ef3",Article,"Final","",Scopus,2-s2.0-85124189586
"Yang, H.H., Arafa, A., Quek, T.Q.S., Poor, H.V.","56491835900;57190835690;55362784200;55665272100;","Spatiotemporal Analysis for Age of Information in Random Access Networks Under Last-Come First-Serve With Replacement Protocol",2022,"IEEE Transactions on Wireless Communications","21","4",,"2813","2829",,,"10.1109/TWC.2021.3116041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119579656&doi=10.1109%2fTWC.2021.3116041&partnerID=40&md5=8ce7bd1a18d3545d12a7dd2ae420fbce",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85119579656
"Chu, Y., Feng, D., Liu, Z., Zhao, Z., Wang, Z., Xia, X.-G., Quek, T.Q.S.","55933051500;55023822900;57252264000;57238462700;57237933500;7402179288;55362784200;","Hybrid-Learning-Based Operational Visual Quality Inspection for Edge-Computing-Enabled IoT System",2022,"IEEE Internet of Things Journal","9","7",,"4958","4972",,,"10.1109/JIOT.2021.3107902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113882807&doi=10.1109%2fJIOT.2021.3107902&partnerID=40&md5=0905133ad106bdb56ff56ad1ebb1566f",Article,"Final","",Scopus,2-s2.0-85113882807
"Wang, X., Fang, M., Xu, C., Yang, H.H., Sun, X., Chen, X., Quek, T.Q.S.","35957356100;57227263100;57189042758;56491835900;55727844800;57188817677;55362784200;","When to Preprocess? Keeping Information Fresh for Computing-Enable Internet of Things",2022,"IEEE Internet of Things Journal","9","6",,"4303","4317",,,"10.1109/JIOT.2021.3104037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126560464&doi=10.1109%2fJIOT.2021.3104037&partnerID=40&md5=21baa202cee4ddb8f061a30ca77c5980",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85126560464
"Takawale, H., Prakash, J., Quek, T.Q.S.","57205425035;57208831600;55362784200;","A Seamless Second-Factor Verification as a Mobility-Service for Future Commute Stations",2022,"HotMobile 2022 - Proceedings of the 23rd Annual International Workshop on Mobile Computing Systems and Applications",,,,"48","53",,,"10.1145/3508396.3512885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127597152&doi=10.1145%2f3508396.3512885&partnerID=40&md5=ef960b7b40125cbd612367774ed3695b",Conference Paper,"Final","",Scopus,2-s2.0-85127597152
"Liu, S., Zheng, C., Huang, Y., Quek, T.Q.S.","56395748600;57217481142;56964559900;55362784200;","Distributed Reinforcement Learning for Privacy-Preserving Dynamic Edge Caching",2022,"IEEE Journal on Selected Areas in Communications","40","3",,"749","760",,1,"10.1109/JSAC.2022.3142348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123302132&doi=10.1109%2fJSAC.2022.3142348&partnerID=40&md5=24b4f27a47d009b3560d66f8971d0887",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85123302132
"Jang, H.S., Lee, H., Quek, T.Q.S.","56224214100;56337886700;55362784200;","Deep Learning Approach for Outage-Constrained Non-Orthogonal Random Access",2022,"IEEE Wireless Communications Letters","11","3",,"645","649",,,"10.1109/LWC.2021.3139608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122592531&doi=10.1109%2fLWC.2021.3139608&partnerID=40&md5=4c1aba903a45510a9b66f865843fe80b",Article,"Final","",Scopus,2-s2.0-85122592531
"Zhao, Z., Feng, C., Hong, W., Jiang, J., Jia, C., Quek, T.Q.S., Peng, M.","55546399300;57195480512;57223281527;57302818700;57255142000;55362784200;7202484665;","Federated Learning with Non-IID Data in Wireless Networks",2022,"IEEE Transactions on Wireless Communications","21","3",,"1927","1942",,1,"10.1109/TWC.2021.3108197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114738791&doi=10.1109%2fTWC.2021.3108197&partnerID=40&md5=5be834e03095686d8c7fdaacaf52bb72",Article,"Final","",Scopus,2-s2.0-85114738791
"Zhang, F., Li, Y., Wang, J., Quek, T.Q.S.","57219055465;35770968700;57362047700;55362784200;","Learning-Based FEC for Non-Terrestrial Networks With Delayed Feedback",2022,"IEEE Communications Letters","26","2",,"306","310",,,"10.1109/LCOMM.2021.3131556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120560649&doi=10.1109%2fLCOMM.2021.3131556&partnerID=40&md5=71f3e30b275267487a6132f714bd3b5a",Article,"Final","",Scopus,2-s2.0-85120560649
"Wu, Y.-C., Lin, C., Quek, T.Q.S.","57209590019;57191725566;55362784200;","A Robust Distributed Hierarchical Online Learning Approach for Dynamic MEC Networks",2022,"IEEE Journal on Selected Areas in Communications","40","2",,"641","656",,1,"10.1109/JSAC.2021.3118342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119621928&doi=10.1109%2fJSAC.2021.3118342&partnerID=40&md5=38a8ebe068704333f957acdd16d465c3",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85119621928
"Zhang, Y., He, Y., Sun, H., Wang, X., Quek, T.Q.S.","57225165518;57267685900;56022308200;35957356100;55362784200;","Performance Analysis of Statistical Priority-Based Multiple Access Network with Directional Antennas",2022,"IEEE Wireless Communications Letters","11","2",,"220","224",,,"10.1109/LWC.2021.3123690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118586868&doi=10.1109%2fLWC.2021.3123690&partnerID=40&md5=7d0a31295af2ae17aa4a2f630b469283",Article,"Final","",Scopus,2-s2.0-85118586868
