作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Hollebeek, L.D., Kumar, V., Srivastava, R.K.","18133514700;7404634666;7401869066;","From Customer-, to Actor-, to Stakeholder Engagement: Taking Stock, Conceptualization, and Future Directions",2022,"Journal of Service Research","25","2",,"328","343",,15,"10.1177/1094670520977680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097985281&doi=10.1177%2f1094670520977680&partnerID=40&md5=254911d60866c23f53e2dbcf1076a1ec",Article,"Final","",Scopus,2-s2.0-85097985281
"Kumar, V., Pandey, A., Singh, R.","7404634666;57212284904;57655278500;","Can Artificial Intelligence be a Critical Success Factor of Construction Projects?: Project practitioners’ perspectives",2022,"Technology Innovation Management Review","11","11-12",,"17","32",,,"10.22215/timreview/1471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129109304&doi=10.22215%2ftimreview%2f1471&partnerID=40&md5=c0a25bed31db620fafda5b1b60bdf367",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85129109304
"Sharma, A., Kumar, V., Borah, S.B., Adhikary, A.","56294017500;7404634666;57195103609;57204878637;","Complexity in a multinational enterprise’s global supply chain and its international business performance: A bane or a boon?",2022,"Journal of International Business Studies",,,,"","",,,"10.1057/s41267-021-00497-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128497827&doi=10.1057%2fs41267-021-00497-0&partnerID=40&md5=f07d8ee3a36f4b49a944eef50a937ea3",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85128497827
"Mukhopadhyay, S., Kumar, V., Sharma, A., Chung, T.S.","55512508500;7404634666;56294017500;15847997500;","Impact of review narrativity on sales in a competitive environment",2022,"Production and Operations Management",,,,"","",,,"10.1111/poms.13698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127266087&doi=10.1111%2fpoms.13698&partnerID=40&md5=83c92eb475a0692e7ac1631eaa7882e2",Article,"Article in Press","",Scopus,2-s2.0-85127266087
"Roggeveen, A.L., Sethuraman, R., Kumar, V., Venkatesan, R.","6603318513;7003323292;7404634666;35615033600;","Showcasing articles that focus on metrics and analytics in retailing",2021,"Journal of Retailing","97","4",,"493","495",,1,"10.1016/j.jretai.2021.09.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116687161&doi=10.1016%2fj.jretai.2021.09.002&partnerID=40&md5=bbb96b2298e0395b2734273a3b211249",Editorial,"Final","",Scopus,2-s2.0-85116687161
"Kumar, V., Venkatesan, R.","7404634666;35615033600;","Transformation of Metrics and Analytics in Retailing: The Way Forward",2021,"Journal of Retailing","97","4",,"496","506",,2,"10.1016/j.jretai.2021.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116655174&doi=10.1016%2fj.jretai.2021.11.004&partnerID=40&md5=711f8721cb50977431dc1e10db0bc951",Editorial,"Final","",Scopus,2-s2.0-85116655174
"Paulich, B.J.W., Kumar, V.","57224538251;7404634666;","Correction to: Relating entertainment features in screenplays to movie performance: an empirical investigation (Journal of the Academy of Marketing Science, (2021), 49, 6, (1222-1242), 10.1007/s11747-021-00794-y)",2021,"Journal of the Academy of Marketing Science","49","6",,"1243","",,,"10.1007/s11747-021-00799-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111121465&doi=10.1007%2fs11747-021-00799-7&partnerID=40&md5=035e41ea8ce5c750d90c7c43be0778d4",Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-85111121465
"Paulich, B.J.W., Kumar, V.","57224538251;7404634666;","Relating entertainment features in screenplays to movie performance: an empirical investigation",2021,"Journal of the Academy of Marketing Science","49","6",,"1222","1242",,2,"10.1007/s11747-021-00794-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107832103&doi=10.1007%2fs11747-021-00794-y&partnerID=40&md5=33759f8f57f0e00157524a364f615f33",Article,"Final","",Scopus,2-s2.0-85107832103
"Kumar, V., Nim, N., Agarwal, A.","7404634666;57204635804;57211443190;","Platform-based mobile payments adoption in emerging and developed countries: Role of country-level heterogeneity and network effects",2021,"Journal of International Business Studies","52","8",,"1529","1558",,4,"10.1057/s41267-020-00346-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087839991&doi=10.1057%2fs41267-020-00346-6&partnerID=40&md5=3d889e13bbe79ed150b305415c9db3c4",Article,"Final","",Scopus,2-s2.0-85087839991
"Diallo, M.F., Djelassi, S., Kumar, V.","55149273300;26655375900;7404634666;","Marketing and globalization: Relevance, trends and future research",2021,"Recherche et Applications en Marketing","36","3",,"2","7",,,"10.1177/20515707211027326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111515273&doi=10.1177%2f20515707211027326&partnerID=40&md5=1aa059f36f6ac0bf3cf8def7503a7f17",Editorial,"Final","All Open Access, Bronze",Scopus,2-s2.0-85111515273
