作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Card, D., Domnisoru, C., Taylor, L.","7006709011;57221993671;7402700813;","The Intergenerational Transmission of Human Capital: Evidence from the Golden Age of Upward Mobility",2022,"Journal of Labor Economics","40","S1",,"S39","S95",,,"10.1086/718417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128964056&doi=10.1086%2f718417&partnerID=40&md5=6fc061d2538ce44d955e3554e36939c9",Article,"Final","",Scopus,2-s2.0-85128964056
"Card, D.","7006709011;","Who Set Your Wage?",2022,"American Economic Review","112","4",,"1075","1090",,,"10.1257/aer.112.4.1075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128908071&doi=10.1257%2faer.112.4.1075&partnerID=40&md5=632f3a1921483305124a8c946fbb5bec",Article,"Final","",Scopus,2-s2.0-85128908071
"Ashenfelter, O., Card, D., Farber, H., Ransom, M.R., Ashenfelter, O., Card, D., Ransom, M.R.","56037568700;7006709011;7005716141;57641914500;56037568700;57639901400;7005426967;","Monopsony in the Labor Market New Empirical Results and New Public Policies",2022,"Journal of Human Resources","57","SpecialIssue 1",,"S1","S10",,,"10.3368/jhr.monopsony.special-issue-2022-introduction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128868477&doi=10.3368%2fjhr.monopsony.special-issue-2022-introduction&partnerID=40&md5=d5187d21de6262950433e5733f855980",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85128868477
"Card, D., Solis, A.","7006709011;35760614900;","MEASURING THE EFFECT OF STUDENT LOANS ON COLLEGE PERSISTENCE",2022,"Education Finance and Policy","17","2",,"335","366",,,"10.1162/edfp_a_00342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127553218&doi=10.1162%2fedfp_a_00342&partnerID=40&md5=a3d70ff33d5adafdb1200316cfcb84d3",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85127553218
"Chan, D.C., Danesh, K., Costantini, S., Card, D., Taylor, L., Studdert, D.M.","57189372218;55355825900;57456374600;7006709011;7402700813;7006304855;","Mortality among US veterans after emergency visits to Veterans Affairs and other hospitals: Retrospective cohort study",2022,"The BMJ","376",,"e068099","","",,,"10.1136/bmj-2021-068099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124774609&doi=10.1136%2fbmj-2021-068099&partnerID=40&md5=b3236757acb905e8034a86e62aea4a9e",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85124774609
"Gerard, F., Lagos, L., Severnini, E., Card, D.","57189202338;57253480400;57191309128;7006709011;","Assortative Matching or Exclusionary Hiring? The Impact of Employment and Pay Policies on Racial Wage Differences in Brazil",2021,"American Economic Review","111","10",,"3418","3457",,2,"10.1257/AER.20181596","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111631115&doi=10.1257%2fAER.20181596&partnerID=40&md5=2d6b5c1b7e956e4f0dc2d833e8e08e29",Conference Paper,"Final","",Scopus,2-s2.0-85111631115
"Card, D., Lee, D.S., Lemieux, T.","7006709011;55698907900;6603092072;","Introduction: Essays in honor of John E. Dinardo",2021,"Journal of Labor Economics","39","S2",,"S317","S328",,,"10.1086/713114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104416050&doi=10.1086%2f713114&partnerID=40&md5=a2020699c5656c32b39a50b0a47947a0",Article,"Final","",Scopus,2-s2.0-85104416050
"Dostie, B., Li, J., Card, D., Parent, D.","57203444035;57194069037;7006709011;7005635434;","Employer policies and the immigrant–native earnings gap",2021,"Journal of Econometrics",,,,"","",,,"10.1016/j.jeconom.2021.07.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118544411&doi=10.1016%2fj.jeconom.2021.07.012&partnerID=40&md5=060c61358676f6f5af5d017ee4806ebe",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85118544411
"Pei, Z., Lee, D.S., Card, D., Weber, A.","56675365500;55698907900;7006709011;57668537300;","Local Polynomial Order in Regression Discontinuity Designs",2021,"Journal of Business and Economic Statistics",,,,"","",,3,"10.1080/07350015.2021.1920961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107414136&doi=10.1080%2f07350015.2021.1920961&partnerID=40&md5=91dc7b27e774630bf5f50d72247a0bff",Article,"Article in Press","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85107414136
"Card, D., Hyslop, D.R.","7006709011;7003343838;","Female earnings inequality: The changing role of family characteristics and its effect on the extensive and intensive margins",2021,"Journal of Labor Economics","39","S1",,"S59","S106",,1,"10.1086/711368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097961206&doi=10.1086%2f711368&partnerID=40&md5=0bb870c2532e89dcadb6481d2f0cf296",Article,"Final","",Scopus,2-s2.0-85097961206
"Card, D., Payne, A.A.","7006709011;7201613669;","HIGH SCHOOL CHOICES AND THE GENDER GAP IN STEM",2021,"Economic Inquiry","59","1",,"9","28",,12,"10.1111/ecin.12934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091454450&doi=10.1111%2fecin.12934&partnerID=40&md5=3ad6cfc5c37d4b00a814046e69447c15",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85091454450
"Card, D., Dellavigna, S.","7006709011;23391949900;","What do editors maximize? Evidence from four economics journals",2020,"Review of Economics and Statistics","102","1",,"195","217",,22,"10.1162/rest_a_00839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080120020&doi=10.1162%2frest_a_00839&partnerID=40&md5=42f3c82a2113c16c1e766603b559ee67",Article,"Final","",Scopus,2-s2.0-85080120020
"Card, D., Dellavigna, S., Funk, P., Iriberri, N.","7006709011;23391949900;7006254583;22937800100;","Are Referees and Editors in Economics Gender Neutral?",2020,"Quarterly Journal of Economics","135","1",,"269","327",,32,"10.1093/qje/qjz035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080139798&doi=10.1093%2fqje%2fqjz035&partnerID=40&md5=325d18198ce43dd318a3ffaf17d564ee",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85080139798
"Card, D., Lemieux, T., Craig Riddell, W.","7006709011;6603092072;54983951600;","Unions and wage inequality: The roles of gender, skill and public sector employment",2020,"Canadian Journal of Economics","53","1",,"140","173",,14,"10.1111/caje.12432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079460090&doi=10.1111%2fcaje.12432&partnerID=40&md5=9a50fbb1de754db404ca20c6b0fabf5a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85079460090
"Card, D., Oreopoulos, P.","7006709011;6507190323;","Introduction: Labor markets and public policies in the United States and Canada",2019,"Journal of Labor Economics","37","S2",,"S243","S252",,1,"10.1086/704368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067358606&doi=10.1086%2f704368&partnerID=40&md5=c4e4cdcf1882f62b56cd095337580e0c",Editorial,"Final","",Scopus,2-s2.0-85067358606
"Card, D.","7006709011;","Introduction: A good start? determinants of initial labor market success",2019,"Journal of Labor Economics","37",,,"S1","S9",,,"10.1086/701217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059561494&doi=10.1086%2f701217&partnerID=40&md5=6533c86720cb3e14c9c9738e776a3bee",Article,"Final","",Scopus,2-s2.0-85059561494
"Card, D., Kluve, J., Weber, A.","7006709011;6505928095;57213207041;","What works? A meta analysis of recent active labor market program evaluations",2018,"Journal of the European Economic Association","16","3",,"894","931",,174,"10.1093/jeea/jvx028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048469279&doi=10.1093%2fjeea%2fjvx028&partnerID=40&md5=f1f07c31937744d81a1f139e928bd55a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85048469279
"Altonji, J.G., Card, D.","6602414825;7006709011;","The effects of immigration on the labor market outcomes of less-skilled natives",2018,"The New Immigrant in the American Economy: Interdisciplinary Perspectives on the New Immigration",,,,"137","170",,,"10.4324/9781315054193-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084895610&doi=10.4324%2f9781315054193-6&partnerID=40&md5=93ac6caf2427e31ed61bda8b6ffa987b",Book Chapter,"Final","",Scopus,2-s2.0-85084895610
"Bender, S., Bloom, N., Card, D., Van Reenen, J., Wolter, S.","7103278230;55147487400;7006709011;7005708650;57189853461;","Management practices, workforce selection, and productivity",2018,"Journal of Labor Economics","36","S1",,"S371","S409",,49,"10.1086/694107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039074345&doi=10.1086%2f694107&partnerID=40&md5=edc396ba41b338839163862463e9b061",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85039074345
"Card, D., Cardoso, A.R., Heining, J., Kline, P.","7006709011;7101743250;14621589000;12798840800;","Firms and labor market inequality: Evidence and some theory",2018,"Journal of Labor Economics","36","S1",,"S13","S70",,122,"10.1086/694153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039054044&doi=10.1086%2f694153&partnerID=40&md5=f399f2f368c8fd1dc19aa0791e83f259",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85039054044
"Card, D., Lemieux, T., Riddell, W.C.","7006709011;6603092072;7003626633;","Unions and wage inequality",2017,"What Do Unions Do?: A Twenty-year Perspective",,,,"114","159",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087720596&partnerID=40&md5=77db85fa51e1dd0fca18a1fd174b2483",Book Chapter,"Final","",Scopus,2-s2.0-85087720596
"Ashenfelter, O., Card, D.","56037568700;7006709011;","Introduction: Essays in honor of Robert J. Lalonde",2017,"Journal of Labor Economics","35","S1",,"S1","S6",,,"10.1086/692749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021777391&doi=10.1086%2f692749&partnerID=40&md5=c2ee5d2a620f993b0207a6c60637da51",Editorial,"Final","",Scopus,2-s2.0-85021777391
