作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Yee, R.W.Y., Choi, T.Y., Yeung, A.C.L., Cheng, T.C.E.","23979088400;35228407900;7102390351;13302593800;","High-contact services of the transient and high-uncertainty type: managing customer experience",2022,"Industrial Management and Data Systems","122","3",,"752","773",,,"10.1108/IMDS-07-2021-0417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125065661&doi=10.1108%2fIMDS-07-2021-0417&partnerID=40&md5=e153fa4350e42541d27f33a63ebf1b2c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85125065661
"Jeong, S., Oke, A., Choi, T.Y.","53984192200;21743778000;35228407900;","Opportunistic innovation in the age of digital services",2022,"Journal of Operations Management",,,,"","",,,"10.1002/joom.1181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128293141&doi=10.1002%2fjoom.1181&partnerID=40&md5=bc028cc87b92a3dace4abb1f2b86b5cb",Article,"Article in Press","",Scopus,2-s2.0-85128293141
"Yang, Y.S., Choi, T.Y., Carter, C.R., Yin, R.","57213785664;35228407900;7403317396;16204390700;","Expanding the boundaries of buyer-supplier agency problems: Moving from dyad to triad",2022,"Journal of Purchasing and Supply Management",,,"100749","","",,,"10.1016/j.pursup.2022.100749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128271028&doi=10.1016%2fj.pursup.2022.100749&partnerID=40&md5=9a0c45c786b77762c76b3a87f9106438",Article,"Article in Press","",Scopus,2-s2.0-85128271028
"Li, M., Falcone, E., Sanders, N., Choi, T.Y., Chang, X.","57221139644;57211804340;35609173900;35228407900;43461012600;","Buyer-supplier collaboration: A macro, micro, and congruence perspective",2022,"Journal of Purchasing and Supply Management","28","1","100723","","",,,"10.1016/j.pursup.2021.100723","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115319795&doi=10.1016%2fj.pursup.2021.100723&partnerID=40&md5=379b3d9309d6962d761bb0b41d05a83a",Article,"Final","",Scopus,2-s2.0-85115319795
"Villena, V.H., Choi, T.Y., Revilla, E.","35231668400;35228407900;8263433100;","Mitigating Mechanisms for the Dark Side of Collaborative Buyer–Supplier Relationships: A Mixed-Method Study",2021,"Journal of Supply Chain Management","57","4",,"86","116",,7,"10.1111/jscm.12239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090431222&doi=10.1111%2fjscm.12239&partnerID=40&md5=6a96b82871e4426081e343d767e62d93",Article,"Final","",Scopus,2-s2.0-85090431222
"Yoo, S.H., Choi, T.Y., Kim, D.","34877920800;35228407900;55922266200;","Multitier Incentive Strategies for Quality Improvement: Case of Three-Tier Supply Chain",2021,"Decision Sciences","52","5",,"1137","1168",,2,"10.1111/deci.12447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087176448&doi=10.1111%2fdeci.12447&partnerID=40&md5=ea52434ad1871e03c6d1533fecb83c49",Article,"Final","",Scopus,2-s2.0-85087176448
"Kurpjuweit, S., Wagner, S.M., Choi, T.Y.","57196374825;55728980600;35228407900;","Selecting Startups as Suppliers: A Typology of Supplier Selection Archetypes",2021,"Journal of Supply Chain Management","57","3",,"25","49",,9,"10.1111/jscm.12230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087451633&doi=10.1111%2fjscm.12230&partnerID=40&md5=df992df5940c6210498445448ea23856",Article,"Final","",Scopus,2-s2.0-85087451633
"Yoo, S.H., Choi, T.Y., Sheu, J.-B.","34877920800;35228407900;7201928686;","Electric vehicles and product–service platforms: Now and in future",2021,"Transportation Research Part E: Logistics and Transportation Review","149",,"102300","","",,2,"10.1016/j.tre.2021.102300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104341833&doi=10.1016%2fj.tre.2021.102300&partnerID=40&md5=7fccafecc38ff21f47199d5567af8ded",Article,"Final","",Scopus,2-s2.0-85104341833
"Yoo, S.H., Choi, T.Y., Kim, D.","34877920800;35228407900;55922266200;","Integrating sourcing and financing strategies in multi-tier supply chain management",2021,"International Journal of Production Economics","234",,"108039","","",,3,"10.1016/j.ijpe.2021.108039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100388205&doi=10.1016%2fj.ijpe.2021.108039&partnerID=40&md5=2ff0bae9378cf317c75954c23dc14389",Article,"Final","",Scopus,2-s2.0-85100388205
"Hofmann, E., Templar, S., Rogers, D.S., Choi, T.Y., Leuschner, R., Korde, R.Y.","56233083500;14827462600;7402048959;35228407900;16204994800;57223037151;","Supply chain financing and pandemic: Managing cash flows to keep firms and their value networks healthy",2021,"Rutgers Business Review","6","1",,"1","23",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104618137&partnerID=40&md5=8450685e59b8927b0602af8d17030324",Article,"Final","",Scopus,2-s2.0-85104618137
"Kim, Y., Choi, T.Y.","56066758300;35228407900;","Supplier relationship strategies and outcome dualities: An empirical study of embeddedness perspective",2021,"International Journal of Production Economics","232",,"107930","","",,2,"10.1016/j.ijpe.2020.107930","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093654310&doi=10.1016%2fj.ijpe.2020.107930&partnerID=40&md5=46b1677797ba4340b46703a8bca53ed5",Article,"Final","",Scopus,2-s2.0-85093654310
