作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Bell, B., Pedemonte, S., Van Reenen, J.","7203056263;57331033700;7005708650;","Ceo pay and the rise of relative performance contracts: A question of governance?",2021,"Journal of the European Economic Association","19","5",,"2513","2542",,,"10.1093/jeea/jvab005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118950496&doi=10.1093%2fjeea%2fjvab005&partnerID=40&md5=0fd36d059c670048bda67a8a1737b288",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85118950496
"Bloom, N., Draca, M., Van Reenen, J.","55147487400;6506973654;7005708650;","A reply to campbell and mau",2021,"Review of Economic Studies","88","5",,"2560","2563",,,"10.1093/restud/rdab007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118163034&doi=10.1093%2frestud%2frdab007&partnerID=40&md5=731d0b220e83db364953a07806110eca",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85118163034
"Bloom, N., Manova, K., Van Reenen, J., Sun, S.T., Yu, Z.","55147487400;24341707000;7005708650;56797065400;55507630200;","Trade and management",2021,"Review of Economics and Statistics","103","3",,"443","460",,1,"10.1162/rest_a_00925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110465889&doi=10.1162%2frest_a_00925&partnerID=40&md5=717914f97430da6c53fcdedbf64700da",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85110465889
"Bloom, N., Romer, P., Terry, S.J., Van Reenen, J.","55147487400;6602118284;36467159900;7005708650;","Trapped Factors and China's Impact on Global Growth",2021,"Economic Journal","131","633",,"156","191",,1,"10.1093/ej/ueaa086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123334928&doi=10.1093%2fej%2fueaa086&partnerID=40&md5=444302aff5e1ab737b6d956afcda4da8",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85123334928
"Scur, D., Sadun, R., Van Reenen, J., Lemos, R., Bloom, N.","56269855300;36168744600;7005708650;56270248000;55147487400;","The World Management Survey at 18: Lessons and the way forward",2021,"Oxford Review of Economic Policy","37","2",,"231","258",,5,"10.1093/oxrep/grab009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112029803&doi=10.1093%2foxrep%2fgrab009&partnerID=40&md5=928c61644b684523eda2d205c76a73a8",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85112029803
"Bloom, N., Lemos, R., Sadun, R., van Reenen, J.","55147487400;56270248000;36168744600;7005708650;","Healthy business? Managerial education and management in health care",2020,"Review of Economics and Statistics","102","3",,"506","517",,8,"10.1162/rest_a_00847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090748153&doi=10.1162%2frest_a_00847&partnerID=40&md5=60077a61efa2954dac88b4685cf50842",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85090748153
"Autor, D., Dorn, D., Katz, L.F., Patterson, C., Reenen, J.V.","6602634280;35291819300;7202789820;57125472800;7005708650;","The fall of the labor share and the rise of superstar firms",2020,"Quarterly Journal of Economics","135","2",,"645","709",,181,"10.1093/qje/qjaa004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085304413&doi=10.1093%2fqje%2fqjaa004&partnerID=40&md5=bad1d3f9eb644285953ea9cf0998094a",Review,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85085304413
"Bloom, N., Jones, C.I., van Reenen, J., Webb, M.","55147487400;57195422078;7005708650;57217747512;","Are ideas getting harder to find?†",2020,"American Economic Review","110","4",,"1104","1144",,81,"10.1257/aer.20180338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084458202&doi=10.1257%2faer.20180338&partnerID=40&md5=31fac94d2b1d79936f7f0f3ade983b4f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85084458202
"Lucking, B., Bloom, N., Van Reenen, J.","55844314500;55147487400;7005708650;","Have R&amp;D Spillovers Declined in the 21st Century?",2019,"Fiscal Studies","40","4",,"561","590",,5,"10.1111/1475-5890.12195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079734589&doi=10.1111%2f1475-5890.12195&partnerID=40&md5=e997271f2f8bb4e9890a6d73c8f6e23f",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85079734589
"Koenig, F., Petrongolo, B., Van Reenen, J., Bagaria, N.","57213155711;8961803300;7005708650;55329622100;","Can Helping the Sick Hurt the Able? Incentives, Information and Disruption in a Welfare Reform",2019,"Economic Journal","129","624",,"3189","3218",,1,"10.1093/ej/uez033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077531631&doi=10.1093%2fej%2fuez033&partnerID=40&md5=c82e4f98bdeb9219a5d6251e92558e1f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85077531631
