作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Fajgelbaum, P., Redding, S.J.","53979647400;7006240226;","Trade, Structural Transformation, and Development: Evidence from Argentina 1869–1914",2022,"Journal of Political Economy","130","5",,"1249","1318",,,"10.1086/718915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128688074&doi=10.1086%2f718915&partnerID=40&md5=2a52fe05d17ede7e2420b1e0db29d975",Article,"Final","",Scopus,2-s2.0-85128688074
"Glaeser, E.L., Gorback, C., Redding, S.J.","7003688582;57219703157;7006240226;","JUE Insight: How much does COVID-19 increase with mobility? Evidence from New York and four other U.S. cities",2022,"Journal of Urban Economics","127",,"103292","","",,28,"10.1016/j.jue.2020.103292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094846369&doi=10.1016%2fj.jue.2020.103292&partnerID=40&md5=30928d97f724f53b08fcc9357dd816be",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85094846369
"Redding, S.J.","7006240226;","Discussion of “Concentration in international markets: Evidence from US imports” (Alessandra Bonfiglioli, Rosario Crino and Gino Gancia)",2021,"Journal of Monetary Economics","121",,,"40","41",,,"10.1016/j.jmoneco.2021.03.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106269453&doi=10.1016%2fj.jmoneco.2021.03.004&partnerID=40&md5=61fa2af9f7ee3f16f8592d79a19a6506",Article,"Final","",Scopus,2-s2.0-85106269453
"Redding, S.J.","7006240226;","Suburbanization in the USA, 1970–2010",2021,"Economica",,,,"","",,,"10.1111/ecca.12387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112753142&doi=10.1111%2fecca.12387&partnerID=40&md5=e0a34861783185d65dd6984ffc6cce8e",Article,"Article in Press","",Scopus,2-s2.0-85112753142
"Heblich, S., Redding, S.J., Sturm, D.M.","15834695900;7006240226;15129272700;","The making of the modern metropolis: Evidence from London",2020,"Quarterly Journal of Economics","135","4",,"2059","2133",,26,"10.1093/qje/qjaa014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087289808&doi=10.1093%2fqje%2fqjaa014&partnerID=40&md5=cfb982d26519f7d13be9995585382a5a",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85087289808
"Redding, S.J., Weinstein, D.E.","7006240226;7102920169;","Measuring Aggregate Price Indices with Taste Shocks: Theory and Evidence for CES Preferences",2020,"Quarterly Journal of Economics","135","1",,"503","560",,14,"10.1093/qje/qjz031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082070037&doi=10.1093%2fqje%2fqjz031&partnerID=40&md5=21212d07e997387538b2b77d7d23a8f7",Article,"Final","",Scopus,2-s2.0-85082070037
"Michaels, G., Redding, S.J., Rauch, F.","24559108600;7006240226;55203311800;","Task specialization in U.S. Cities from 1880 to 2000",2019,"Journal of the European Economic Association","17","3",,"754","798",,15,"10.1093/jeea/jvy007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064004506&doi=10.1093%2fjeea%2fjvy007&partnerID=40&md5=69efa7e50db1f3dd23b3b54e4c0923cc",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85064004506
"Amiti, M., Redding, S.J., Weinstein, D.E.","6602546971;7006240226;7102920169;","The impact of the 2018 tariffs on prices and welfare",2019,"Journal of Economic Perspectives","33","4",,"187","210",,58,"10.1257/jep.33.4.187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078122039&doi=10.1257%2fjep.33.4.187&partnerID=40&md5=b6b45528e8b74f225ba1bbefb010e130",Review,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85078122039
"Monte, F., Redding, S.J., Rossi-Hansberg, E.","24450464500;7006240226;16069519700;","Commuting, migration, and local employment elasticities",2018,"American Economic Review","108","12",,"3855","3890",,54,"10.1257/aer.20151507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054603485&doi=10.1257%2faer.20151507&partnerID=40&md5=c407f704408833fdb8a095e0611a53fc",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85054603485
"Bernard, A.B., Jensen, J.B., Redding, S.J., Schott, P.K.","7401677523;7404522262;7006240226;7003797444;","Global firms",2018,"Journal of Economic Literature","56","2",,"565","619",,60,"10.1257/jel.20160792","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048894585&doi=10.1257%2fjel.20160792&partnerID=40&md5=e804046573de75d2fcacb6d311212d79",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85048894585
